,name,url,formatted_address,types,place_id,accounting,administrative_area_level_1,administrative_area_level_2,administrative_area_level_4,administrative_area_level_5,airport,amusement_park,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bus_station,cafe,campground,car_dealer,car_rental,car_repair,car_wash,casino,church,city_hall,clothing_store,colloquial_area,convenience_store,country,dentist,department_store,doctor,drugstore,electronics_store,establishment,finance,florist,food,furniture_store,gas_station,general_contractor,grocery_or_supermarket,gym,hair_care,hardware_store,health,home_goods_store,hospital,jewelry_store,laundry,library,liquor_store,local_government_office,locality,lodging,meal_delivery,meal_takeaway,movie_rental,movie_theater,moving_company,museum,natural_feature,neighborhood,night_club,park,parking,pet_store,pharmacy,physiotherapist,place_of_worship,point_of_interest,police,political,post_office,premise,primary_school,real_estate_agency,restaurant,rv_park,school,secondary_school,shoe_store,shopping_mall,spa,stadium,storage,store,street_address,sublocality,sublocality_level_1,subway_station,supermarket,tourist_attraction,town_square,train_station,transit_station,travel_agency,university,veterinary_care,zoo
10,Dra. Amanda Labadessa,https://maps.google.com/?cid=1688322345524434436,"R. Javaés, 70 - Sala 2 - Vila Eldizia, Santo André - SP, 09181-570, Brasil","['doctor', 'health', 'point_of_interest', 'establishment']",ChIJ___bIm5CzpQRBJZWZzogbhc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Albany International Tecidos Tecnicos Ltda.,https://maps.google.com/?cid=7750107204975539408,"R. Bolívia, 216 - Ponta Aguda, Blumenau - SC, 89050-300, Brasil","['point_of_interest', 'establishment']",ChIJEWR7KMcY35QR0DTD63DpjWs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Ginecologia Obstetrícia,https://maps.google.com/?cid=8773522518714256368,"Rua 1542, 270 - Centro, Balneário Camboriú - SC, 88330-503, Brasil","['doctor', 'health', 'point_of_interest', 'establishment']",ChIJsfcXbgi22JQR8IvaJD_QwXk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Saudades,"https://maps.google.com/?q=Saudades,+Bigua%C3%A7u+-+SC,+88160-000,+Brasil&ftid=0x9527534aff5b41e3:0x5e1fd60a09dd612b","Saudades, Biguaçu - SC, 88160-000, Brasil","['locality', 'political']",ChIJ40Fb_0pTJ5URK2HdCQrWH14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Casa de Acolhimento, Orientação e Cura Espiritual",https://maps.google.com/?cid=1346063382193470743,"R. Anhanguera, 3365 - Piauí, Parnaíba - PI, 64210-195, Brasil","['point_of_interest', 'establishment']",ChIJ0yz1oNU77AcRF33NrIMtrhI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,SIMB Tecnologia,https://maps.google.com/?cid=8046906495541461334,"R. Prof. Ayrton Roberto de Oliveira, 32 - Itacorubi, Florianópolis - SC, 88034-050, Brasil","['point_of_interest', 'establishment']",ChIJw0h1dvs4J5URVkGIx9JarG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Paiol Beer Gourmet,https://maps.google.com/?cid=2028606093135865367,"R. São Francisco, 451 - São Geraldo, Ijuí - RS, 98700-000, Brasil","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJgdZSAWwt_JQRF2aOYn4OJxw,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Bahan Bakar Pub,https://maps.google.com/?cid=9153377032950258391,"R. do Comércio, 2686 - Universitário, Ijuí - RS, 98700-000, Brasil","['bar', 'point_of_interest', 'establishment']",ChIJpQCjDhAt_JQR1xo4MOpTB38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Softplan,https://maps.google.com/?q=Softplan&ftid=0x95273892016c0201:0x5092fc4281d2bc56,"Softplan - R. Kátia Bartiria Abreu - Itacorubi, Florianópolis - SC, 88036-020, Brasil",['premise'],ChIJAQJsAZI4J5URVrzSgUL8klA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Lemonadde Coworking + Office,https://maps.google.com/?cid=502345735561310610,"Rod. Admar Gonzaga, 440 - 5 andar - Itacorubi, Florianópolis - SC, 88034-000, Brasil","['point_of_interest', 'establishment']",ChIJJQZ24_I4J5URknGQ8siw-AY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
